Id,Name,Description,SortOrder
BIBLE,The Beginning,"In a distant beginning, the world is shaped by a mysterious and powerful force, bringing light from darkness and order from chaos. As life emerges, humans find themselves entangled in choices with far-reaching consequences—decisions that ripple through generations. From a forbidden fruit to a devastating flood, the story unfolds with divine encounters, secret covenants, and a journey across foreign lands. It follows a chosen family whose destiny is intertwined with promises and betrayals, blessings and curses, as they navigate an uncertain future under the shadow of something far greater than themselves.",1
BIBLE,The Departure,"A people bound in chains serve a ruthless empire, their cries for freedom echoing into the unknown. When hope seems lost, a mysterious figure emerges from the wilderness, bearing signs of power and ancient promises. Plagues descend upon the land, rivers turn to blood, and darkness spreads as the enslaved are drawn toward a perilous escape. Pursued by an unrelenting force, they wander through desolate lands, guided only by pillars of fire and cloud. Along the way, laws are etched in stone, mountains tremble, and a covenant is forged—a promise of a new land, if they can survive the trials that lie ahead.",2
BIBLE,The Laws,"In the heart of a vast wilderness, a sacred space is established, filled with rituals, offerings, and whispered secrets of divine order. A people seeking closeness to the unseen are given strange laws and precise instructions, guiding their every act of worship. Blood is spilled, fires are kindled, and the air grows thick with incense as they learn the cost of approaching the divine. Holiness is demanded, but the path is perilous—missteps invite danger, yet obedience promises purity and life in the shadow of an overwhelming presence that dwells among them.",3
BIBLE,The Wanderings,"A restless people, wandering through the barren wilderness, struggle to find their way toward a promised land. Their journey is marked by counting—of tribes, of warriors, of days—but it is their trials and rebellions that define them. Plagued by doubts and discord, they are tested by fire, serpents, and famine, always teetering on the edge of destruction. Along the way, mysterious figures rise and fall, prophecies unfold, and miraculous signs point the way forward. Yet as they near their destination, the weight of their journey threatens to overwhelm them, leaving the future shrouded in uncertainty.",4
BIBLE,The Covenant,"Standing on the threshold of a new land, an aging leader speaks to a people who have wandered for years, their past marked by trials and revelations. With the future uncertain, he recounts the journey—a history of laws given in fire and thunder, of promises made and broken, of lessons learned in the wilderness. These are not mere memories, but warnings and blessings, preparing them for what lies ahead. The unseen presence that guided them still looms large, demanding faithfulness as they stand at the crossroads of destiny. What awaits them is both a promise and a test, the outcome resting on whether they will remember or forget.",5
BIBLE,The Conqueror,"A new leader rises, carrying the weight of a divine promise as he leads his people across a river that parts like the sea before them. The land ahead is filled with fortified cities and hostile kings, but mysterious signs guide their every step. Walls crumble at the sound of trumpets, and strange victories are won in the most unlikely ways. Yet, for all the battles and conquests, the challenge is not only external—there are internal struggles, loyalties tested, and the ever-present question of whether they can remain faithful to the unseen force that delivered them. As they carve out a place in this promised land, shadows of past warnings and future consequences linger, reminding them that their story is far from over.",6
BIBLE,The Judges,"In a land once promised, now fractured and wild, a cycle of chaos unfolds. Without a king, the people drift, swayed by their own desires and beset by enemies on all sides. From the shadows of this disorder, strange and flawed figures arise—judges, each chosen by an unseen hand, endowed with power to deliver their people. Their stories are marked by unlikely triumphs and devastating failures: a left-handed assassin, a woman who leads armies, a man who tears down temples with his bare hands. But for every victory, the people fall back into darkness, repeating their mistakes as the land descends into deeper unrest, and the line between hero and villain blurs in the dimming light.",7
BIBLE,The Loyal,"Amidst a time of famine and loss, when chaos reigns in the land, a quiet story of loyalty and grace emerges. A foreign widow, bound to her mother-in-law by an unshakable bond, forsakes her homeland to journey into an uncertain future. In a foreign field, she toils under the watchful eye of a man whose kindness hides deeper mysteries. Slowly, through acts of devotion and unexpected redemption, her life becomes entwined with something much larger than she could ever know. In the shadows of history, this humble tale unfolds, sowing the seeds of a legacy that will change the course of a kingdom.",8
BIBLE,The First Seer,"In a time when the voice of the divine grows faint and the land is plagued by unrest, a child is born under the shadow of unanswered prayers. Raised in the halls of a crumbling priesthood, he becomes the last great judge and the first true prophet of a new era. As the people cry out for a king to lead them, destinies collide—an anointed shepherd boy rises from obscurity, while a tormented ruler spirals into madness and jealousy. Prophecies, betrayals, and battles shape the land as it teeters between the divine will and human ambition. Amidst it all, the fragile hope of a new kingdom is forged in blood, sacrifice, and an ever-looming sense of something far greater at work in the lives of kings and prophets alike.",9
BIBLE,The Successor,"The kingdom is newly established, yet fraught with intrigue and peril as a young, once-obscure shepherd rises to power. His reign begins with triumph and unification, but the shadows of past sins and personal betrayals loom large. The tale is marked by dramatic victories, tumultuous relationships, and a dramatic affair that brings both personal and national turmoil. Amidst the glory and conquest, the kingdom grapples with its internal conflicts and moral failures. As David consolidates his rule and faces the consequences of his actions, the promises of a divine covenant intertwine with the human cost of leadership, setting the stage for a dynasty shaped by both grace and tragedy.",10
BIBLE,A Kingdom Falls - I,"The kingdom stands at its zenith under a wise and affluent ruler, whose grandeur and wisdom attract both admiration and envy. But as peace and prosperity bloom, the seeds of division and corruption are sown. The narrative unfolds with magnificent temples and divine revelations, but also with growing strife and discontent. The story shifts from the splendor of Solomon's reign to a fractured realm, plagued by rivalries and prophetic warnings. As prophets challenge kings and nations clash, the once-united kingdom splinters into discord, setting the stage for a tumultuous saga of betrayal, prophecy, and the looming shadow of impending judgment.",11
BIBLE,A Kingdom Falls - II,"The story continues in a realm now divided and beleaguered, where the echoes of past glory give way to a relentless cycle of betrayal and destruction. Kings rise and fall, their reigns marked by fleeting piety and persistent corruption. Prophets emerge as voices of defiance, challenging rulers and foretelling calamities. The land is plagued by invasions and internal strife, as the once-mighty kingdoms of Israel and Judah face their inexorable decline. Amid the chaos, the divine promises seem distant, and the sins of the past lead to the ultimate downfall, leaving a scarred and shattered legacy that hints at both judgment and a glimmer of hope for the future.",12
BIBLE,The Royal Records,"In a time of reflection and rebuilding, the past is recounted through meticulous records and genealogies, offering a solemn yet hopeful perspective on a storied lineage. The narrative revisits the reign of a king who once united a fractured realm, focusing on his divine favor and achievements. Emphasis is placed on the sacred rituals, the establishment of worship, and the centrality of the Temple in Jerusalem. Through detailed accounts and reverent storytelling, the past is honored and the lessons of history are set against the backdrop of a people striving to reconnect with their spiritual and national identity. The chronicles weave together threads of faith, leadership, and divine purpose, casting a reflective light on the path forward.",13
BIBLE,The Extended Records,"The tale of a once-glorious kingdom continues, now seen through the lens of sacred history and devotion. The narrative focuses on the grandeur of the Temple and the kings who strive to uphold its sanctity, contrasting periods of faithful reforms with the creeping decay of corruption and idolatry. As the kingdom oscillates between religious zeal and political strife, the account highlights the divine guidance offered through prophets and the consequences of forsaking it. The once-mighty kingdom's decline is portrayed as both a tragic fall and a somber lesson, leading to a moment of exile that serves as a poignant reflection on the past and a call to remember the promises made by the divine.",14
BIBLE,The Rebuilder,"Amidst the ruins of a once-great city, a new chapter begins as a remnant of the exiled people returns to their devastated homeland. Guided by divine favor and a decree from a foreign king, they embark on a journey of restoration and renewal. The focus shifts to the rebuilding of the sacred Temple and the re-establishment of ancient laws and worship practices. Amid challenges and opposition, the efforts to rekindle their spiritual and communal identity unfold. This story is one of resilience and hope, where the struggle to reclaim a broken past is intertwined with the promise of a renewed covenant and a future restored to divine favor.",15
BIBLE,The Restorer,"In the shadow of a crumbling city, a determined leader rises to rebuild what was lost. With authority granted by a distant monarch and driven by a profound sense of duty, he returns to a besieged Jerusalem, confronting both external threats and internal dissent. The task of reconstructing the city's walls is fraught with obstacles and opposition, yet through perseverance and reform, the community begins to heal and reforge its identity. Amidst the rubble, Nehemiah's leadership revives hope and unity, laying the groundwork for a restored city and a renewed covenant, while confronting the harsh realities of a people striving to reclaim their spiritual and communal heritage.",16
BIBLE,The Queen,"In a vast empire where hidden dangers lurk beneath a veneer of opulence, a young woman of humble origins is unexpectedly elevated to the heights of royal power. Through a series of fortuitous events and covert bravery, she uncovers a sinister plot against her people, orchestrated by a scheming advisor with dark intentions. Navigating the treacherous waters of palace intrigue and risking her own life, she stands as a beacon of courage and strategic acumen. Her actions, driven by both her identity and her faith, become pivotal in securing the survival of her people and transforming the fate of an entire nation, all while the shadows of intrigue and power play their relentless game.",17
BIBLE,The Suffering,"In a land of affluence and deep faith, a man of unparalleled righteousness is suddenly engulfed by unrelenting suffering and loss. Stripped of his wealth, health, and family, he grapples with intense anguish and the seeming silence of the divine. As he questions the reasons behind his plight, a series of dialogues with friends and a profound divine encounter unfold, exploring the nature of human suffering and divine justice. His journey is a haunting exploration of faith, resilience, and the enigmatic ways in which the divine interacts with human adversity, leading to a resolution that transcends simple explanations and offers a glimpse into a greater cosmic order.",18
